Title,Description,Matching Skills,Date,Where,Organized By,Address,Contact,More information,Upload Date
Hospice Volunteer,"Trained hospice volunteers provide caring and compassionate support to terminally ill patients of all faiths. Volunteers are valued members of the hospice support team who offer companionship and a caring presence through readings, prayer, music, meaningful photos, talents or sharing life reviews. Once trained, the commitment can be as little as one hour a week of your presence, with flexibility in visiting times and ongoing support with continuing education and opportunities for growth.","['medical/health', 'education/training', 'crafts', 'writing']",Not Available,Massachusetts,JHC Hospice Care,"['646 Salisbury St', 'Worcester', 'Massachusetts', '01609']","['smack@jhchospice.com', 'Susan Mack', '(508)713-0564']",http://www.jhchospice.com,04/06/20
Be a Healing Presence: Become A Hospice Volunteer,"JHC Hospice invites you to join our group of Caring and Compassionate Volunteers, who serve to meet our mission of providing holistic care for our patients in the final phase of their lives. 
They have been quoted to say that they do this because of the gratification and meaning they find in this giving from the heart. After completing the free of charge, Medicare regulated training, you may offer readings, listening to music together, sharing your own unique talents or simply sit silently by the bedside all reducing isolation and improving the quality of life of your assigned patient.  Pet therapists and occasional office help is welcomed. Support for Volunteers and offerings of Continuing Education is on-going. 
Take the first step by answering these questions and sending them back to me.  You will be contacted regarding a time to interview and  provide answer all your questions. 
1. Name
2. Address
3.Home phone
4. Cell phone
5. E-mail
6. Any recent experience with Death & Dying",['crafts'],Not Available,Massachusetts,JHC Hospice,"['646 Salisbury St', 'Worcester', 'Massachusetts', '01609']","['harriettk@jhchospice.com', 'Volunteer Supervisor', '(508)713-0564']",,04/06/20
Volunteer Ombudsman,"Worcester County, Massachusetts: Montachusett Home Care Corporation is looking for people who have genuine care, concern, and compassion for the elderly & disabled in nursing homes and rest homes. 
A positive attitude, excellent communication & listening skills, and availability are necessary.Long-Term Care Ombudsman visit facilities on a regular basis. They listen to resident concerns, mediate and solve problems, report observations, and advocate for resident rights.All ombudsman must pass a CORI, be certified (3-day program) prior to fieldwork, have transportation, attend a mandatory monthly meeting, and be available for weekly facility visits.
If you are interested, please call or email for further information.",[''],Not Available,Massachusetts,Montachusett Home Care Corporation,"['Worcester', 'Massachusetts', '01606']","['GBailey@mhcc-1.org', 'Geralyn Bailey', '(508)756-1545']",http://montachusetthomecare.org/,04/06/20
"Special Events Support Volunteer (Worcester, MA)","If you have an interest in learning more about Development, Fundraising, or Special Event Planning, this is a great volunteer opportunity for you! We are looking for a volunteer who can come into the Alzheimer's Association Worcester office one day per week for 2-3 hours. 
The volunteer will provide administrative support to our Development staff, including assistance with large mailings, outreach to event participants, preparation for event planning meetings, etc.
The ideal candidate will be available on either Mondays, sometime between noon - 4pm, or Tuesdays, between 10am - 1pm.
Help us lead the way to a world without Alzheimer's!
For more information email: volunteersMANH@alz.org.",[''],Not Available,Massachusetts,"Alzheimer's Association, Massachusetts/New Hampshire Chapter","['100 North Pkwy', 'Worcester', 'Massachusetts', '01605']","['VolunteersMANH@alz.org', 'Volunteer Engagement Manager', '(617)868-6718']",,04/06/20
Volunteer with Habitat ReStore,"ReStore is Habitat's open to the public retail outlet that sells donated new and gently used home furnishings and building materials! The proceeds from all items sold a ReStore go to funding Habitat's home build mission. 
The Habitat for Humanity MetroWest/Greater Worcester ReStore generates enough funds to build a home a year, while also keeping over 600 tons of usable materials out of local landfills! 
Volunteer tasks will consist of donations processing, customer service and sales floor merchandising. From cleaning, testing, and pricing donations, to helping happy customers out to their cars with their purchases volunteers help us do it all!",['handyman/painting/cleaning'],Not Available,Massachusetts,Habitat for Humanity MetroWest/Greater Worcester ReStore,"['640 Lincoln St', 'Worcester', 'Massachusetts', '01605']","['volunteer@habitatmwgw.org', 'Molly Pietrantonio', '(508)799-9259']",http://www.letsrestore.org,04/06/20
Worcester Volunteer Network,"AARP volunteers come together once per month to lend their time and talents planning events and programs in Worcester County. Volunteers sign up for the opportunities that fit into their schedules and then work together as a group for a few hours at a time. 
Specific duties will vary depending on the opportunity.","['spanish language', 'public speaking/meeting facilitation', 'project management', 'education/training']",Not Available,Massachusetts,AARP,"['Worcester', 'Massachusetts', '01601']","['maaarp@aarp.org', 'AARP Massachusetts']",http://www.aarp.org,04/06/20
"Volunteer for A Great Cause, A Just Cause,or Just Because...","If you are 55 years and over, and a Worcester County resident RSVP Worcester Area Volunteers wants you! 
Mission:  To educate seniors on the latest frauds and scams being targeted at them. 
Volunteers will: 
-  Serve two hours weekly at their local senior center or senior housing site.
-  Pass on up -to- date information to your peers about scams and frauds that are provided by RSVP.
-  Refer people to call the RSVP's Senior Helpline if action needs to be taken.Training a Must! 
 Background checks required. RSVP Worcester Area Volunteers is a program of Family Services of Central MAContact info:Rita Sullivan 508-791-7787    sullivan@rsvp-worcester.org",[''],Not Available,Massachusetts,Worcester Area Volunteers (RSVP) sponsored by Family Services of Central MA,"['128 Providence St', 'Worcester', 'Massachusetts', '01610']","['fugatt@rsvp-worcester.org', 'Kathy Fugatt']",,04/06/20
Hospice Office Admin Volunteer,"Hospice Office Admin VolunteerAssist in the office with clerical work such as: Mailings, filings, bereavement phone calls, organizing, and more!
Projects may include:
-Updating medical record files.
-Mailing condolence letters, surveys and other letters.
-Marketing for volunteers.
-Answering Phone Lines.
-Various projects by Program Director Veteran Outreach and more!
Volunteer will support Program Director, Medical Records Coordinator and occasionally Volunteer Coordinator. This is a great opportunity to be involved in the heath care field in an administrative setting!","['writing', 'social media/digital marketing', 'project management', 'medical/health', 'marketing']",Not Available,Massachusetts,Brookhaven Hospice,"['114 Turnpike Rd', 'Westborough', 'Massachusetts', '01581']","['kathrynsloan@brookhavenhospice.com', 'Kathy Sloan', '(855)820-4801']",http://brookhavenhospice.com/volunteers.php,04/06/20
Hospice Office Admin Volunteer,"Hospice Office Admin Volunteer
Assist in the office with clerical work such as: Mailings, filings, bereavement phone calls, organizing, and more!
Projects may include:
-Updating medical record files
-Mailing condolence letters, surveys and other letters.
-Marketing for volunteers
-Answering Phone Lines
-Various projects by Program Director
-Veteran Outreach
and more!
Volunteer will support Program Director, Medical Records Coordinator and occasionally Volunteer Coordinator. This is a great opportunity to be involved in the heath care field in an administrative setting!","['writing', 'social media/digital marketing', 'project management', 'medical/health', 'marketing']",Not Available,Massachusetts,Brookhaven Hospice,"['114 Turnpike Rd', 'Westborough', 'Massachusetts', '01581']","['aneshe@brookhavenhospice.com', 'Alyssa Neshe']",http://brookhavenhospice.com/volunteers.php,04/06/20
Hospice Volunteer,"We need hospice volunteers for patient companionship, caregiver support, pet therapy, music therapy, massage therapy, bereavement support, spiritual care and administrative roles. Also in need of Spanish-speaking volunteers.",[''],Not Available,Massachusetts,HealthAlliance Hospice,"['Leominster', 'Massachusetts', '01453']","['crecchion@healthalliance.com', 'Carol Recchion', '(978)798-3192']",https://www.umassmemorialhealthcare.org/healthalliance-clinton-hospital,04/06/20
